# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.13056 s. Light curve stops at 4.67456 s. Time resolution is 0.01536 s. There are 305 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n3_n0_n1 with energy in [8.0,900.0] keV.
IP LINLIN
DP 3.824640 7.0
DP 3.840000 11.0
DP 3.855360 14.0
DP 3.870720 0.0
DP 3.886080 0.0
DP 3.901440 0.0
DP 3.916800 0.0
DP 3.932160 6.0
DP 3.947520 0.0
DP 3.962880 5.0
DP 3.978240 4.0
DP 3.993600 0.0
DP 4.008960 10.0
DP 4.024320 0.0
DP 4.039680 1.0
DP 4.055040 0.0
DP 4.070400 0.0
DP 4.085760 13.0
DP 4.101120 1.0
DP 4.116480 0.0
DP 4.131840 8.0
DP 4.147200 0.0
DP 4.162560 0.0
DP 4.177920 0.0
DP 4.193280 0.0
DP 4.208640 6.0
DP 4.224000 0.0
DP 4.239360 0.0
DP 4.254720 4.0
DP 4.270080 5.0
DP 4.285440 6.0
DP 4.300800 7.0
DP 4.316160 1.0
DP 4.331520 0.0
DP 4.346880 1.0
DP 4.362240 6.0
DP 4.377600 0.0
DP 4.392960 0.0
DP 4.408320 8.0
DP 4.423680 0.0
DP 4.439040 0.0
DP 4.454400 10.0
DP 4.469760 0.0
DP 4.485120 4.0
DP 4.500480 0.0
DP 4.515840 0.0
DP 4.531200 11.0
DP 4.546560 0.0
DP 4.561920 5.0
DP 4.577280 8.0
DP 4.592640 0.0
DP 4.608000 0.0
DP 4.623360 10.0
DP 4.638720 29.0
DP 4.654080 15.0
DP 4.669440 0.0
EN
