# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.06408 s. Light curve stops at 1.15408 s. Time resolution is 0.00144 s. There are 802 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n1_n3_n0 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 4.0
DP 0.001440 0.0
DP 0.002880 0.0
DP 0.004320 0.0
DP 0.005760 5.0
DP 0.007200 0.0
DP 0.008640 0.0
DP 0.010080 3.0
DP 0.011520 3.0
DP 0.012960 6.0
DP 0.014400 2.0
DP 0.015840 0.0
DP 0.017280 3.0
DP 0.018720 0.0
DP 0.020160 4.0
DP 0.021600 0.0
DP 0.023040 0.0
DP 0.024480 0.0
DP 0.025920 0.0
DP 0.027360 0.0
DP 0.028800 0.0
DP 0.030240 0.0
DP 0.031680 1.0
DP 0.033120 0.0
DP 0.034560 0.0
DP 0.036000 0.0
DP 0.037440 2.0
DP 0.038880 0.0
DP 0.040320 0.0
DP 0.041760 0.0
DP 0.043200 0.0
DP 0.044640 0.0
DP 0.046080 0.0
DP 0.047520 6.0
DP 0.048960 0.0
DP 0.050400 0.0
DP 0.051840 6.0
DP 0.053280 2.0
DP 0.054720 2.0
DP 0.056160 0.0
DP 0.057600 0.0
DP 0.059040 4.0
DP 0.060480 198.0
DP 0.061920 273.0
DP 0.063360 201.0
DP 0.064800 103.0
DP 0.066240 84.0
DP 0.067680 75.0
DP 0.069120 2.0
DP 0.070560 19.0
DP 0.072000 42.0
DP 0.073440 47.0
DP 0.074880 35.0
DP 0.076320 36.0
DP 0.077760 46.0
DP 0.079200 42.0
DP 0.080640 44.0
DP 0.082080 34.0
DP 0.083520 32.0
DP 0.084960 32.0
DP 0.086400 41.0
DP 0.087840 25.0
DP 0.089280 29.0
DP 0.090720 35.0
DP 0.092160 22.0
DP 0.093600 28.0
DP 0.095040 31.0
DP 0.096480 10.0
DP 0.097920 23.0
DP 0.099360 26.0
DP 0.100800 31.0
DP 0.102240 20.0
DP 0.103680 29.0
DP 0.105120 26.0
DP 0.106560 21.0
DP 0.108000 26.0
DP 0.109440 29.0
DP 0.110880 25.0
DP 0.112320 17.0
DP 0.113760 31.0
DP 0.115200 30.0
DP 0.116640 20.0
DP 0.118080 20.0
DP 0.119520 19.0
DP 0.120960 17.0
DP 0.122400 21.0
DP 0.123840 24.0
DP 0.125280 20.0
DP 0.126720 20.0
DP 0.128160 35.0
DP 0.129600 23.0
DP 0.131040 18.0
DP 0.132480 18.0
DP 0.133920 20.0
DP 0.135360 18.0
DP 0.136800 14.0
DP 0.138240 19.0
DP 0.139680 10.0
DP 0.141120 14.0
DP 0.142560 16.0
DP 0.144000 7.0
DP 0.145440 25.0
DP 0.146880 12.0
DP 0.148320 19.0
DP 0.149760 9.0
DP 0.151200 13.0
DP 0.152640 11.0
DP 0.154080 10.0
DP 0.155520 15.0
DP 0.156960 17.0
DP 0.158400 11.0
DP 0.159840 8.0
DP 0.161280 8.0
DP 0.162720 11.0
DP 0.164160 13.0
DP 0.165600 6.0
DP 0.167040 18.0
DP 0.168480 2.0
DP 0.169920 3.0
DP 0.171360 13.0
DP 0.172800 10.0
DP 0.174240 16.0
DP 0.175680 7.0
DP 0.177120 6.0
DP 0.178560 9.0
DP 0.180000 11.0
DP 0.181440 10.0
DP 0.182880 13.0
DP 0.184320 9.0
DP 0.185760 3.0
DP 0.187200 5.0
DP 0.188640 6.0
DP 0.190080 13.0
DP 0.191520 9.0
DP 0.192960 4.0
DP 0.194400 5.0
DP 0.195840 4.0
DP 0.197280 7.0
DP 0.198720 5.0
DP 0.200160 8.0
DP 0.201600 5.0
DP 0.203040 9.0
DP 0.204480 6.0
DP 0.205920 7.0
DP 0.207360 2.0
DP 0.208800 9.0
DP 0.210240 8.0
DP 0.211680 4.0
DP 0.213120 8.0
DP 0.214560 4.0
