# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.06424 s. Light curve stops at 0.32024 s. Time resolution is 0.00176 s. There are 183 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_nb_n9_na with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 2.0
DP 0.001760 0.0
DP 0.003520 0.0
DP 0.005280 1.0
DP 0.007040 2.0
DP 0.008800 5.0
DP 0.010560 0.0
DP 0.012320 1.0
DP 0.014080 0.0
DP 0.015840 0.0
DP 0.017600 2.0
DP 0.019360 4.0
DP 0.021120 0.0
DP 0.022880 3.0
DP 0.024640 1.0
DP 0.026400 0.0
DP 0.028160 4.0
DP 0.029920 2.0
DP 0.031680 2.0
DP 0.033440 1.0
DP 0.035200 0.0
DP 0.036960 0.0
DP 0.038720 3.0
DP 0.040480 0.0
DP 0.042240 0.0
DP 0.044000 3.0
DP 0.045760 0.0
DP 0.047520 0.0
DP 0.049280 0.0
DP 0.051040 5.0
DP 0.052800 4.0
DP 0.054560 18.0
DP 0.056320 9.0
DP 0.058080 30.0
DP 0.059840 28.0
DP 0.061600 27.0
DP 0.063360 18.0
DP 0.065120 26.0
DP 0.066880 33.0
DP 0.068640 25.0
DP 0.070400 26.0
DP 0.072160 25.0
DP 0.073920 13.0
DP 0.075680 14.0
DP 0.077440 18.0
DP 0.079200 22.0
DP 0.080960 7.0
DP 0.082720 6.0
DP 0.084480 17.0
DP 0.086240 16.0
DP 0.088000 7.0
DP 0.089760 19.0
DP 0.091520 19.0
DP 0.093280 42.0
DP 0.095040 30.0
DP 0.096800 33.0
DP 0.098560 24.0
DP 0.100320 19.0
DP 0.102080 23.0
DP 0.103840 19.0
DP 0.105600 16.0
DP 0.107360 19.0
DP 0.109120 30.0
DP 0.110880 41.0
DP 0.112640 31.0
DP 0.114400 31.0
DP 0.116160 33.0
DP 0.117920 24.0
DP 0.119680 19.0
DP 0.121440 32.0
DP 0.123200 26.0
DP 0.124960 34.0
DP 0.126720 36.0
DP 0.128480 30.0
DP 0.130240 24.0
DP 0.132000 39.0
DP 0.133760 27.0
DP 0.135520 15.0
DP 0.137280 20.0
DP 0.139040 18.0
DP 0.140800 21.0
DP 0.142560 21.0
DP 0.144320 27.0
DP 0.146080 34.0
DP 0.147840 25.0
DP 0.149600 31.0
DP 0.151360 14.0
DP 0.153120 10.0
DP 0.154880 17.0
DP 0.156640 26.0
DP 0.158400 19.0
DP 0.160160 26.0
DP 0.161920 24.0
DP 0.163680 22.0
DP 0.165440 18.0
DP 0.167200 27.0
DP 0.168960 17.0
DP 0.170720 30.0
DP 0.172480 33.0
DP 0.174240 20.0
DP 0.176000 24.0
DP 0.177760 18.0
DP 0.179520 14.0
DP 0.181280 21.0
DP 0.183040 24.0
DP 0.184800 31.0
DP 0.186560 33.0
DP 0.188320 26.0
DP 0.190080 32.0
DP 0.191840 21.0
DP 0.193600 28.0
DP 0.195360 37.0
DP 0.197120 20.0
DP 0.198880 21.0
DP 0.200640 34.0
DP 0.202400 26.0
DP 0.204160 23.0
DP 0.205920 29.0
DP 0.207680 29.0
DP 0.209440 35.0
DP 0.211200 42.0
DP 0.212960 29.0
DP 0.214720 32.0
DP 0.216480 35.0
DP 0.218240 36.0
DP 0.220000 29.0
DP 0.221760 39.0
DP 0.223520 31.0
DP 0.225280 33.0
DP 0.227040 17.0
DP 0.228800 23.0
DP 0.230560 12.0
DP 0.232320 13.0
DP 0.234080 8.0
DP 0.235840 9.0
DP 0.237600 12.0
DP 0.239360 16.0
DP 0.241120 7.0
DP 0.242880 14.0
DP 0.244640 2.0
DP 0.246400 10.0
DP 0.248160 0.0
DP 0.249920 8.0
DP 0.251680 3.0
DP 0.253440 13.0
DP 0.255200 3.0
DP 0.256960 6.0
DP 0.258720 6.0
DP 0.260480 5.0
DP 0.262240 2.0
DP 0.264000 7.0
DP 0.265760 0.0
DP 0.267520 4.0
DP 0.269280 7.0
DP 0.271040 3.0
DP 0.272800 0.0
DP 0.274560 1.0
DP 0.276320 1.0
DP 0.278080 2.0
DP 0.279840 1.0
DP 0.281600 0.0
DP 0.283360 2.0
DP 0.285120 0.0
DP 0.286880 0.0
DP 0.288640 0.0
DP 0.290400 0.0
DP 0.292160 0.0
DP 0.293920 0.0
DP 0.295680 0.0
DP 0.297440 3.0
DP 0.299200 2.0
DP 0.300960 0.0
DP 0.302720 3.0
DP 0.304480 0.0
DP 0.306240 10.0
DP 0.308000 1.0
DP 0.309760 2.0
DP 0.311520 0.0
DP 0.313280 1.0
DP 0.315040 0.0
DP 0.316800 0.0
DP 0.318560 5.0
DP 0.320320 0.0
EN
