# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.19008 s. Light curve stops at 4.15808 s. Time resolution is 0.01408 s. There are 296 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n9_na with energy in [8.0,900.0] keV.
IP LINLIN
DP 3.520000 16.0
DP 3.534080 14.0
DP 3.548160 6.0
DP 3.562240 17.0
DP 3.576320 16.0
DP 3.590400 7.0
DP 3.604480 9.0
DP 3.618560 11.0
DP 3.632640 5.0
DP 3.646720 15.0
DP 3.660800 15.0
DP 3.674880 20.0
DP 3.688960 18.0
DP 3.703040 7.0
DP 3.717120 4.0
DP 3.731200 3.0
DP 3.745280 13.0
DP 3.759360 21.0
DP 3.773440 12.0
DP 3.787520 11.0
DP 3.801600 16.0
DP 3.815680 5.0
DP 3.829760 18.0
DP 3.843840 7.0
DP 3.857920 2.0
DP 3.872000 18.0
DP 3.886080 4.0
DP 3.900160 0.0
DP 3.914240 0.0
DP 3.928320 11.0
DP 3.942400 7.0
DP 3.956480 3.0
DP 3.970560 0.0
DP 3.984640 8.0
DP 3.998720 20.0
DP 4.012800 16.0
DP 4.026880 7.0
DP 4.040960 10.0
DP 4.055040 6.0
DP 4.069120 14.0
DP 4.083200 6.0
DP 4.097280 11.0
DP 4.111360 1.0
DP 4.125440 20.0
DP 4.139520 14.0
DP 4.153600 10.0
EN
