# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.31936 s. Light curve stops at 0.44736 s. Time resolution is 0.00128 s. There are 350 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n2_n5 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.318720 14.0
DP 0.320000 10.0
DP 0.321280 13.0
DP 0.322560 13.0
DP 0.323840 8.0
DP 0.325120 13.0
DP 0.326400 1.0
DP 0.327680 7.0
DP 0.328960 8.0
DP 0.330240 8.0
DP 0.331520 12.0
DP 0.332800 11.0
DP 0.334080 14.0
DP 0.335360 12.0
DP 0.336640 16.0
DP 0.337920 22.0
DP 0.339200 9.0
DP 0.340480 6.0
DP 0.341760 12.0
DP 0.343040 13.0
DP 0.344320 13.0
DP 0.345600 9.0
DP 0.346880 12.0
DP 0.348160 10.0
DP 0.349440 11.0
DP 0.350720 6.0
DP 0.352000 11.0
DP 0.353280 4.0
DP 0.354560 7.0
DP 0.355840 10.0
DP 0.357120 6.0
DP 0.358400 6.0
DP 0.359680 7.0
DP 0.360960 14.0
DP 0.362240 9.0
DP 0.363520 3.0
DP 0.364800 8.0
DP 0.366080 2.0
DP 0.367360 5.0
DP 0.368640 9.0
DP 0.369920 7.0
DP 0.371200 3.0
DP 0.372480 6.0
DP 0.373760 3.0
DP 0.375040 4.0
DP 0.376320 7.0
DP 0.377600 5.0
DP 0.378880 6.0
DP 0.380160 3.0
DP 0.381440 10.0
DP 0.382720 5.0
DP 0.384000 6.0
DP 0.385280 7.0
DP 0.386560 5.0
DP 0.387840 1.0
DP 0.389120 8.0
DP 0.390400 8.0
DP 0.391680 3.0
DP 0.392960 5.0
DP 0.394240 9.0
DP 0.395520 4.0
DP 0.396800 11.0
DP 0.398080 3.0
DP 0.399360 5.0
DP 0.400640 8.0
DP 0.401920 5.0
DP 0.403200 9.0
DP 0.404480 2.0
DP 0.405760 6.0
DP 0.407040 7.0
DP 0.408320 12.0
DP 0.409600 4.0
DP 0.410880 2.0
DP 0.412160 5.0
DP 0.413440 1.0
DP 0.414720 3.0
DP 0.416000 1.0
DP 0.417280 1.0
DP 0.418560 8.0
DP 0.419840 4.0
DP 0.421120 4.0
DP 0.422400 4.0
DP 0.423680 6.0
DP 0.424960 10.0
DP 0.426240 8.0
DP 0.427520 5.0
DP 0.428800 5.0
DP 0.430080 0.0
DP 0.431360 6.0
DP 0.432640 2.0
DP 0.433920 3.0
DP 0.435200 8.0
DP 0.436480 1.0
DP 0.437760 4.0
DP 0.439040 3.0
DP 0.440320 4.0
DP 0.441600 5.0
DP 0.442880 7.0
DP 0.444160 1.0
DP 0.445440 2.0
DP 0.446720 3.0
EN
