datetime,timestamp[s],bgo_z1[keV],bgo_z0[keV],bgo_x1[keV],bgo_x0[keV],bgo_y1[keV],bgo_y0[keV],latX,lonX,latZ,lonZ
1970-01-01 00:00:00.039605709,0.039605709,0.0,201.2142,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.040629663,0.040629663,0.0,0.0,0.0,0.0,0.0,93.38923,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.040956871,0.040956871,0.0,0.0,0.0,0.0,0.0,285.8495,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.042084279,0.042084279,0.0,0.0,166.2875,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.042416276,0.042416276,0.0,0.0,0.0,0.0,0.0,153.40508,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.042606209,0.042606209,0.0,0.0,0.0,0.0,0.0,236.4501,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.043673045,0.043673045,0.0,0.0,269.09888,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.044840633,0.044840633,0.0,0.0,0.0,0.0,453.3136,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.045814544,0.045814544,0.0,173.25919,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.045906731,0.045906731,387.95367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.047039821,0.047039821,202.14284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.047528570,0.04752857,596.9878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.047559664,0.047559664,0.0,0.0,0.0,0.0,0.0,335.4501,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.047872762,0.047872762,0.0,505.41562,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.048117198,0.048117198,0.0,0.0,0.0,0.0,0.0,231.2399,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.048222001,0.048222001,0.0,303.85052,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.048463556,0.048463556,467.09653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.048973261,0.048973261,354.72076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.049000537,0.049000537,880.3028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.049089818,0.049089818,0.0,0.0,676.28345,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.049145793,0.049145793,0.0,175.77396,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.049179719,0.049179719,0.0,0.0,0.0,0.0,0.0,625.4277,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.049250451,0.049250451,0.0,0.0,0.0,0.0,0.0,178.86163,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.049353894,0.049353894,185.46986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.050104904,0.050104904,426.42838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.050499142,0.050499142,191.30556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.050961590,0.05096159,0.0,569.81494,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.051398287,0.051398287,0.0,0.0,98.07307,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.051569919,0.051569919,0.0,0.0,0.0,0.0,119.759766,0.0,0.0,0.0,-1.5707964,0.0
