# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.06360 s. Light curve stops at 0.19160 s. Time resolution is 0.00080 s. There are 240 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n0_n1_n9 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 1.0
DP 0.000800 0.0
DP 0.001600 0.0
DP 0.002400 1.0
DP 0.003200 0.0
DP 0.004000 2.0
DP 0.004800 0.0
DP 0.005600 0.0
DP 0.006400 3.0
DP 0.007200 2.0
DP 0.008000 0.0
DP 0.008800 0.0
DP 0.009600 1.0
DP 0.010400 0.0
DP 0.011200 1.0
DP 0.012000 0.0
DP 0.012800 0.0
DP 0.013600 0.0
DP 0.014400 0.0
DP 0.015200 0.0
DP 0.016000 1.0
DP 0.016800 0.0
DP 0.017600 0.0
DP 0.018400 2.0
DP 0.019200 0.0
DP 0.020000 0.0
DP 0.020800 0.0
DP 0.021600 0.0
DP 0.022400 2.0
DP 0.023200 0.0
DP 0.024000 2.0
DP 0.024800 1.0
DP 0.025600 2.0
DP 0.026400 0.0
DP 0.027200 0.0
DP 0.028000 0.0
DP 0.028800 0.0
DP 0.029600 0.0
DP 0.030400 1.0
DP 0.031200 0.0
DP 0.032000 0.0
DP 0.032800 1.0
DP 0.033600 0.0
DP 0.034400 3.0
DP 0.035200 0.0
DP 0.036000 0.0
DP 0.036800 0.0
DP 0.037600 0.0
DP 0.038400 0.0
DP 0.039200 1.0
DP 0.040000 1.0
DP 0.040800 0.0
DP 0.041600 0.0
DP 0.042400 2.0
DP 0.043200 1.0
DP 0.044000 0.0
DP 0.044800 0.0
DP 0.045600 0.0
DP 0.046400 0.0
DP 0.047200 0.0
DP 0.048000 1.0
DP 0.048800 3.0
DP 0.049600 4.0
DP 0.050400 14.0
DP 0.051200 8.0
DP 0.052000 11.0
DP 0.052800 17.0
DP 0.053600 27.0
DP 0.054400 23.0
DP 0.055200 29.0
DP 0.056000 24.0
DP 0.056800 25.0
DP 0.057600 26.0
DP 0.058400 36.0
DP 0.059200 23.0
DP 0.060000 18.0
DP 0.060800 17.0
DP 0.061600 15.0
DP 0.062400 18.0
DP 0.063200 6.0
DP 0.064000 14.0
DP 0.064800 12.0
DP 0.065600 15.0
DP 0.066400 18.0
DP 0.067200 18.0
DP 0.068000 3.0
DP 0.068800 13.0
DP 0.069600 5.0
DP 0.070400 11.0
DP 0.071200 7.0
DP 0.072000 3.0
DP 0.072800 6.0
DP 0.073600 3.0
DP 0.074400 4.0
DP 0.075200 7.0
DP 0.076000 9.0
DP 0.076800 9.0
DP 0.077600 9.0
DP 0.078400 10.0
DP 0.079200 5.0
DP 0.080000 11.0
DP 0.080800 5.0
DP 0.081600 10.0
DP 0.082400 4.0
DP 0.083200 16.0
DP 0.084000 4.0
DP 0.084800 1.0
DP 0.085600 8.0
DP 0.086400 7.0
DP 0.087200 3.0
DP 0.088000 3.0
DP 0.088800 5.0
DP 0.089600 1.0
DP 0.090400 5.0
DP 0.091200 6.0
DP 0.092000 1.0
DP 0.092800 3.0
DP 0.093600 10.0
DP 0.094400 4.0
DP 0.095200 5.0
DP 0.096000 7.0
DP 0.096800 1.0
DP 0.097600 13.0
DP 0.098400 9.0
DP 0.099200 16.0
DP 0.100000 14.0
DP 0.100800 9.0
DP 0.101600 6.0
DP 0.102400 8.0
DP 0.103200 8.0
DP 0.104000 14.0
DP 0.104800 4.0
DP 0.105600 11.0
DP 0.106400 9.0
DP 0.107200 13.0
DP 0.108000 7.0
DP 0.108800 15.0
DP 0.109600 6.0
DP 0.110400 3.0
DP 0.111200 9.0
DP 0.112000 4.0
DP 0.112800 9.0
DP 0.113600 7.0
DP 0.114400 8.0
DP 0.115200 6.0
DP 0.116000 2.0
DP 0.116800 4.0
DP 0.117600 6.0
DP 0.118400 7.0
DP 0.119200 5.0
DP 0.120000 6.0
DP 0.120800 3.0
DP 0.121600 4.0
DP 0.122400 4.0
DP 0.123200 4.0
DP 0.124000 0.0
DP 0.124800 3.0
DP 0.125600 4.0
DP 0.126400 1.0
DP 0.127200 6.0
DP 0.128000 3.0
DP 0.128800 1.0
DP 0.129600 1.0
DP 0.130400 2.0
DP 0.131200 5.0
DP 0.132000 2.0
DP 0.132800 4.0
DP 0.133600 2.0
DP 0.134400 4.0
DP 0.135200 1.0
DP 0.136000 3.0
DP 0.136800 7.0
DP 0.137600 3.0
DP 0.138400 1.0
DP 0.139200 0.0
DP 0.140000 0.0
DP 0.140800 4.0
DP 0.141600 0.0
DP 0.142400 0.0
DP 0.143200 2.0
DP 0.144000 4.0
DP 0.144800 0.0
DP 0.145600 4.0
DP 0.146400 0.0
DP 0.147200 0.0
DP 0.148000 2.0
DP 0.148800 0.0
DP 0.149600 0.0
DP 0.150400 1.0
DP 0.151200 1.0
DP 0.152000 4.0
DP 0.152800 2.0
DP 0.153600 4.0
DP 0.154400 1.0
DP 0.155200 0.0
DP 0.156000 0.0
DP 0.156800 0.0
DP 0.157600 2.0
DP 0.158400 3.0
DP 0.159200 3.0
DP 0.160000 4.0
DP 0.160800 0.0
DP 0.161600 0.0
DP 0.162400 1.0
DP 0.163200 0.0
DP 0.164000 0.0
DP 0.164800 2.0
DP 0.165600 0.0
DP 0.166400 2.0
DP 0.167200 0.0
DP 0.168000 4.0
DP 0.168800 0.0
DP 0.169600 0.0
DP 0.170400 3.0
DP 0.171200 0.0
DP 0.172000 1.0
DP 0.172800 3.0
DP 0.173600 4.0
DP 0.174400 0.0
DP 0.175200 0.0
DP 0.176000 0.0
DP 0.176800 0.0
DP 0.177600 0.0
DP 0.178400 0.0
DP 0.179200 3.0
DP 0.180000 0.0
DP 0.180800 0.0
DP 0.181600 1.0
DP 0.182400 2.0
DP 0.183200 0.0
DP 0.184000 0.0
DP 0.184800 0.0
DP 0.185600 0.0
DP 0.186400 0.0
DP 0.187200 1.0
DP 0.188000 1.0
DP 0.188800 0.0
DP 0.189600 3.0
DP 0.190400 5.0
DP 0.191200 0.0
EN
